2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,서울,기존,삼육대학교,"4,628","5,268","4,648",620,"2,122",291,"2,526",329,"1,476","1,370",106,"1,039",76,331,30,94,85,9,27,5,58,4,"6,838","6,103",735,"3,188",372,"2,915",363
2025,대학교,사립,서울,기존,상명대학교,"5,362","6,267","5,364",903,"2,630",348,"2,734",555,"1,954","1,728",226,"1,291",162,437,64,210,193,17,79,9,114,8,"8,431","7,285","1,146","4,000",519,"3,285",627
2025,대학교,사립,충남,기존,상명대학교_제2캠퍼스,"5,384","5,517","5,101",416,"1,989",126,"3,112",290,"1,873","1,766",107,"1,227",64,539,43,176,164,12,42,2,122,10,"7,566","7,031",535,"3,258",192,"3,773",343
2025,대학교,사립,강원,기존,상지대학교,"7,078","5,722","5,344",378,"3,175",224,"2,169",154,"2,359","2,244",115,"1,931",95,313,20,14,11,3,9,3,2,0,"8,095","7,599",496,"5,115",322,"2,484",174
2025,대학교,사립,서울,기존,서강대학교,"6,380","8,429","6,566","1,863","3,632",827,"2,934","1,036","2,812","2,445",367,"1,831",280,614,87,680,599,81,296,44,303,37,"11,921","9,610","2,311","5,759","1,151","3,851","1,160"
2025,대학교,사립,서울,기존,서경대학교,"5,196","6,864","5,067","1,797","2,466",402,"2,601","1,395","1,817","1,627",190,"1,197",143,430,47,40,38,2,17,0,21,2,"8,721","6,732","1,989","3,680",545,"3,052","1,444"
2025,대학교,국립,서울,기존,서울과학기술대학교,"8,764","10,444","8,849","1,595","5,457",778,"3,392",817,"3,176","2,991",185,"2,495",130,496,55,191,189,2,114,1,75,1,"13,811","12,029","1,782","8,066",909,"3,963",873
2025,교육대학,국립,서울,기존,서울교육대학교,"1,377","1,285","1,157",128,374,32,783,96,50,47,3,27,1,20,2,0,0,0,0,0,0,0,"1,335","1,204",131,401,33,803,98
2025,대학교,사립,서울,기존,서울기독대학교,544,"1,279",440,839,184,524,256,315,60,53,7,33,6,20,1,0,0,0,0,0,0,0,"1,339",493,846,217,530,276,316
2025,대학교,국립대법인,서울,기존,서울대학교,"13,743","17,279","15,524","1,755","9,414",955,"6,110",800,"4,577","4,184",393,"3,493",309,691,84,0,0,0,0,0,0,0,"21,856","19,708","2,148","12,907","1,264","6,801",884
2025,사이버대학(대학),사립,서울,기존,서울디지털대학교,"9,250","11,052","7,215","3,837","3,220","2,188","3,995","1,649","1,312",830,482,322,238,508,244,0,0,0,0,0,0,0,"12,364","8,045","4,319","3,542","2,426","4,503","1,893"
2025,사이버대학(대학),사립,서울,기존,서울사이버대학교,"10,620","15,803","10,076","5,727","4,596","3,149","5,480","2,578","1,909","1,183",726,547,369,636,357,0,0,0,0,0,0,0,"17,712","11,259","6,453","5,143","3,518","6,116","2,935"
2025,대학교,공립,서울,기존,서울시립대학교,"6,996","8,949","8,036",913,"4,743",528,"3,293",385,"2,852","2,685",167,"2,162",116,523,51,0,0,0,0,0,0,0,"11,801","10,721","1,080","6,905",644,"3,816",436
2025,대학교,사립,경기,기존,서울신학대학교,"1,848","1,967","1,856",111,717,42,"1,139",69,438,406,32,301,22,105,10,21,18,3,2,1,16,2,"2,426","2,280",146,"1,020",65,"1,260",81
2025,대학교,사립,서울,기존,서울여자대학교,"6,563","7,692","6,551","1,141",0,0,"6,551","1,141","1,312","1,186",126,0,0,"1,186",126,580,531,49,0,0,531,49,"9,584","8,268","1,316",0,0,"8,268","1,316"
2025,대학교,사립,경기,기존,서울장신대학교,378,331,281,50,160,32,121,18,73,70,3,54,2,16,1,0,0,0,0,0,0,0,404,351,53,214,34,137,19
2025,대학교,사립,서울,기존,서울한영대학교,720,778,504,274,198,144,306,130,224,208,16,134,10,74,6,2,2,0,0,0,2,0,"1,004",714,290,332,154,382,136
2025,대학교,사립,충북,기존,서원대학교,"6,488","7,648","6,092","1,556","2,979","1,047","3,113",509,"1,856","1,708",148,"1,453",117,255,31,11,10,1,5,0,5,1,"9,515","7,810","1,705","4,437","1,164","3,373",541
2025,대학교,사립,충남,기존,선문대학교,"8,241","8,435","7,283","1,152","4,507",507,"2,776",645,"2,762","2,590",172,"2,246",121,344,51,56,54,2,24,2,30,0,"11,253","9,927","1,326","6,777",630,"3,150",696
2025,대학교,사립,경기,기존,성결대학교,"4,912","5,241","4,899",342,"2,209",151,"2,690",191,"1,570","1,486",84,"1,114",60,372,24,62,57,5,15,2,42,3,"6,873","6,442",431,"3,338",213,"3,104",218
2025,대학교,사립,서울,기존,성공회대학교,"2,008","2,234","1,899",335,840,180,"1,059",155,856,804,52,531,40,273,12,54,51,3,25,1,26,2,"3,144","2,754",390,"1,396",221,"1,358",169
2025,대학교,사립,서울,기존,성균관대학교,"13,794","19,612","14,280","5,332","7,932","2,320","6,348","3,012","5,787","4,737","1,050","3,512",747,"1,225",303,0,0,0,0,0,0,0,"25,399","19,017","6,382","11,444","3,067","7,573","3,315"
2025,대학교,사립,서울,기존,성신여자대학교,"8,547","9,404","8,310","1,094",0,1,"8,310","1,093","1,599","1,451",148,0,0,"1,451",148,435,389,46,0,0,389,46,"11,438","10,150","1,288",0,1,"10,150","1,287"
2025,대학교,사립,충북,기존,세명대학교,"6,526","5,515","5,134",381,"2,741",155,"2,393",226,"1,914","1,802",112,"1,560",91,242,21,44,40,4,18,0,22,4,"7,473","6,976",497,"4,319",246,"2,657",251
2025,대학교,사립,서울,기존,세종대학교,"9,871","13,171","10,000","3,171","5,594","1,797","4,406","1,374","3,906","3,515",391,"2,678",302,837,89,0,0,0,0,0,0,0,"17,077","13,515","3,562","8,272","2,099","5,243","1,463"
2025,사이버대학(대학),사립,서울,기존,세종사이버대학교,"6,960","11,464","6,282","5,182","2,914","2,886","3,368","2,296","1,373",820,553,356,272,464,281,0,0,0,0,0,0,0,"12,837","7,102","5,735","3,270","3,158","3,832","2,577"
2025,대학교,사립,전남,기존,세한대학교,"3,268","3,139","2,663",476,"1,269",162,"1,394",314,799,725,74,578,39,147,35,7,6,1,5,1,1,0,"3,945","3,394",551,"1,852",202,"1,542",349
2025,대학교,사립,광주,기존,송원대학교,"2,670","2,569","2,291",278,"1,064",139,"1,227",139,439,423,16,356,10,67,6,7,7,0,1,0,6,0,"3,015","2,721",294,"1,421",149,"1,300",145
2025,대학교,사립,경기,기존,수원가톨릭대학교,360,96,95,1,90,1,5,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,121,120,1,115,1,5,0
2025,대학교,사립,경기,기존,수원대학교,"8,520","8,368","7,842",526,"3,873",282,"3,969",244,"3,031","2,854",177,"2,198",144,656,33,77,75,2,35,0,40,2,"11,476","10,771",705,"6,106",426,"4,665",279
2025,대학교,사립,서울,기존,숙명여자대학교,"8,660","10,134","8,536","1,598",0,0,"8,536","1,598","1,743","1,523",220,0,0,"1,523",220,0,0,0,0,0,0,0,"11,877","10,059","1,818",0,0,"10,059","1,818"
2025,각종학교(대학),사립,충북,기존,순복음총회신학교,238,137,137,0,82,0,55,0,17,17,0,13,0,4,0,0,0,0,0,0,0,0,154,154,0,95,0,59,0
2025,대학교,사립,충남,기존,순천향대학교,"9,806","11,080","9,629","1,451","4,887",759,"4,742",692,"2,961","2,743",218,"2,345",181,398,37,66,66,0,24,0,42,0,"14,107","12,438","1,669","7,256",940,"5,182",729
2025,대학교,사립,서울,기존,숭실대학교,"10,777","14,738","11,045","3,693","6,319","1,324","4,726","2,369","5,225","4,601",624,"3,577",418,"1,024",206,0,0,0,0,0,0,0,"19,963","15,646","4,317","9,896","1,742","5,750","2,575"
2025,사이버대학(대학),사립,서울,기존,숭실사이버대학교,"4,900","7,536","4,365","3,171","2,085","1,812","2,280","1,359",604,385,219,179,103,206,116,0,0,0,0,0,0,0,"8,140","4,750","3,390","2,264","1,915","2,486","1,475"
2025,대학교,사립,경북,기존,신경주대학교,"3,304","1,179","1,101",78,502,40,599,38,143,135,8,92,7,43,1,0,0,0,0,0,0,0,"1,322","1,236",86,594,47,642,39
2025,대학교,사립,부산,기존,신라대학교,"6,865","6,877","6,016",861,"2,943",448,"3,073",413,"1,463","1,399",64,"1,197",52,202,12,30,29,1,15,0,14,1,"8,370","7,444",926,"4,155",500,"3,289",426
2025,대학교,사립,경기,기존,신한대학교,648,693,570,123,246,26,324,97,185,169,16,120,7,49,9,13,13,0,5,0,8,0,891,752,139,371,33,381,106
2025,대학교,사립,경기,기존,신한대학교_제2캠퍼스,"4,972","5,786","4,802",984,"2,147",440,"2,655",544,"1,418","1,344",74,"1,042",51,302,23,45,41,4,17,0,24,4,"7,249","6,187","1,062","3,206",491,"2,981",571
2025,대학교,사립,경기,기존,아신대학교,420,236,227,9,129,6,98,3,60,59,1,48,1,11,0,0,0,0,0,0,0,0,296,286,10,177,7,109,3
2025,대학교,사립,경기,기존,아주대학교,"7,948","10,194","8,042","2,152","4,820","1,096","3,222","1,056","3,178","2,815",363,"2,331",277,484,86,302,280,22,149,14,131,8,"13,674","11,137","2,537","7,300","1,387","3,837","1,150"
2025,대학교,사립,경기,기존,안양대학교,"3,954","4,353","4,052",301,"2,002",143,"2,050",158,"1,573","1,479",94,"1,090",67,389,27,62,59,3,23,1,36,2,"5,988","5,590",398,"3,115",211,"2,475",187
2025,대학교,사립,인천,기존,안양대학교_제2캠퍼스,580,300,299,1,198,0,101,1,166,166,0,146,0,20,0,1,1,0,0,0,1,0,467,466,1,344,0,122,1
2025,대학교,사립,강원,기존,연세대학교(미래)_분교,"5,649","6,931","5,687","1,244","2,971",674,"2,716",570,"2,071","1,854",217,"1,453",166,401,51,61,57,4,30,4,27,0,"9,063","7,598","1,465","4,454",844,"3,144",621
2025,대학교,사립,서울,기존,연세대학교,"14,356","21,005","15,652","5,353","8,515","2,249","7,137","3,104","5,975","4,849","1,126","3,609",754,"1,240",372,934,770,164,324,55,446,109,"27,914","21,271","6,643","12,448","3,058","8,823","3,585"
2025,대학교,사립,경북,기존,영남대학교,"18,610","20,623","18,392","2,231","9,396","1,170","8,996","1,061","7,312","6,744",568,"5,216",443,"1,528",125,17,17,0,8,0,9,0,"27,952","25,153","2,799","14,620","1,613","10,533","1,186"
2025,대학교,사립,경북,기존,영남신학대학교,460,371,367,4,121,1,246,3,123,123,0,48,0,75,0,0,0,0,0,0,0,0,494,490,4,169,1,321,3
2025,대학교,사립,경남,기존,영산대학교(양산)_제2캠퍼스,"2,370","2,722","2,471",251,"1,005",119,"1,466",132,347,324,23,246,13,78,10,8,8,0,6,0,2,0,"3,077","2,803",274,"1,257",132,"1,546",142
2025,대학교,사립,부산,기존,영산대학교(해운대),"2,992","2,974","2,292",682,945,403,"1,347",279,610,582,28,448,16,134,12,1,1,0,1,0,0,0,"3,585","2,875",710,"1,394",419,"1,481",291
2025,대학교,사립,전남,기존,영산선학대학교,200,23,21,2,11,0,10,2,12,12,0,9,0,3,0,0,0,0,0,0,0,0,35,33,2,20,0,13,2
2025,대학교,사립,전북,기존,예수대학교,460,480,446,34,96,4,350,30,87,84,3,53,1,31,2,3,3,0,0,0,3,0,570,533,37,149,5,384,32
2025,대학교,사립,전북,기존,예원예술대학교,516,537,434,103,207,50,227,53,199,192,7,127,5,65,2,0,0,0,0,0,0,0,736,626,110,334,55,292,55
2025,대학교,사립,경기,기존,예원예술대학교_제2캠퍼스,452,699,377,322,106,186,271,136,132,120,12,73,7,47,5,0,0,0,0,0,0,0,831,497,334,179,193,318,141
2025,대학교,사립,경기,기존,용인대학교,"5,048","5,326","4,954",372,"2,695",204,"2,259",168,"1,844","1,734",110,"1,337",85,397,25,0,0,0,0,0,0,0,"7,170","6,688",482,"4,032",289,"2,656",193
2025,대학교,사립,전북,기존,우석대학교,"6,296","6,629","5,260","1,369","3,173",776,"2,087",593,"1,578","1,481",97,"1,279",82,202,15,18,18,0,15,0,3,0,"8,225","6,759","1,466","4,467",858,"2,292",608
2025,대학교,사립,대전,기존,우송대학교,"8,005","9,680","7,459","2,221","4,399","1,190","3,060","1,031","3,135","2,757",378,"2,524",282,233,96,25,24,1,7,0,17,1,"12,840","10,240","2,600","6,930","1,472","3,310","1,128"
2025,대학교,특별법법인,울산,기존,울산과학기술원,"1,600","1,893","1,614",279,"1,098",194,516,85,503,455,48,418,46,37,2,0,0,0,0,0,0,0,"2,396","2,069",327,"1,516",240,553,87
2025,대학교,사립,울산,기존,울산대학교,"10,683","10,606","9,915",691,"5,529",436,"4,386",255,"4,704","4,343",361,"3,555",305,788,56,287,275,12,146,8,129,4,"15,597","14,533","1,064","9,230",749,"5,303",315
2025,대학교,사립,전북,기존,원광대학교,"12,600","12,360","11,583",777,"6,454",366,"5,129",411,"4,258","4,052",206,"3,529",171,523,35,54,51,3,35,1,16,2,"16,672","15,686",986,"10,018",538,"5,668",448
2025,사이버대학(대학),사립,전북,기존,원광디지털대학교,"4,630","4,931","3,429","1,502",786,464,"2,643","1,038","2,045","1,379",666,271,156,"1,108",510,0,0,0,0,0,0,0,"6,976","4,808","2,168","1,057",620,"3,751","1,548"
2025,대학교,사립,경북,기존,위덕대학교,"2,468","2,116","2,061",55,"1,002",16,"1,059",39,287,282,5,224,2,58,3,6,6,0,1,0,5,0,"2,409","2,349",60,"1,227",18,"1,122",42
2025,대학교,사립,충북,기존,유원대학교,"3,500","4,032","3,719",313,"1,480",96,"2,239",217,463,441,22,366,18,75,4,4,4,0,3,0,1,0,"4,499","4,164",335,"1,849",114,"2,315",221
2025,대학교,사립,대전,기존,을지대학교,300,357,302,55,167,24,135,31,55,49,6,48,6,1,0,0,0,0,0,0,0,0,412,351,61,215,30,136,31
2025,대학교,사립,경기,기존,을지대학교_제2캠퍼스,"3,309","3,653","3,383",270,"1,009",98,"2,374",172,735,685,50,464,36,221,14,38,36,2,12,1,24,1,"4,426","4,104",322,"1,485",135,"2,619",187
2025,대학교,사립,경기,기존,을지대학교_제3캠퍼스,697,707,646,61,165,15,481,46,145,138,7,98,4,40,3,0,0,0,0,0,0,0,852,784,68,263,19,521,49
2025,대학교,사립,서울,기존,이화여자대학교,"12,930","16,452","13,519","2,933",0,0,"13,519","2,933","2,411","2,119",292,0,0,"2,119",292,"1,282","1,149",133,0,0,"1,149",133,"20,145","16,787","3,358",0,0,"16,787","3,358"
2025,대학교,사립,경남,기존,인제대학교,"6,964","6,844","6,130",714,"3,198",284,"2,932",430,"1,740","1,671",69,"1,431",60,240,9,8,8,0,5,0,3,0,"8,592","7,809",783,"4,634",344,"3,175",439
2025,대학교,사립,인천,기존,인천가톨릭대학교,49,40,40,0,38,0,2,0,13,13,0,11,0,2,0,0,0,0,0,0,0,0,53,53,0,49,0,4,0
2025,대학교,사립,인천,기존,인천가톨릭대학교_제2캠퍼스,612,657,610,47,136,3,474,44,83,76,7,48,3,28,4,0,0,0,0,0,0,0,740,686,54,184,6,502,48
2025,대학교,국립대법인,인천,기존,인천대학교,"10,016","11,247","10,155","1,092","5,619",663,"4,536",429,"4,013","3,733",280,"2,973",231,760,49,228,210,18,88,8,122,10,"15,488","14,098","1,390","8,680",902,"5,418",488
2025,대학교,사립,인천,기존,인하대학교,"14,228","17,830","14,728","3,102","8,468","1,764","6,260","1,338","7,032","6,254",778,"5,032",611,"1,222",167,0,0,0,0,0,0,0,"24,862","20,982","3,880","13,500","2,375","7,482","1,505"
2025,대학교,사립,서울,기존,장로회신학대학교,600,572,535,37,255,20,280,17,179,172,7,134,6,38,1,0,0,0,0,0,0,0,751,707,44,389,26,318,18
2025,대학교,국립,광주,기존,전남대학교,"14,439","16,391","15,090","1,301","7,173",600,"7,917",701,"4,780","4,452",328,"3,390",226,"1,062",102,191,173,18,90,9,83,9,"21,362","19,715","1,647","10,653",835,"9,062",812
2025,대학교,국립,전남,기존,전남대학교_제2캠퍼스,"3,273","2,808","2,428",380,"1,638",304,790,76,"1,383","1,240",143,"1,084",128,156,15,15,15,0,7,0,8,0,"4,206","3,683",523,"2,729",432,954,91
2025,대학교,국립,전북,기존,전북대학교,"16,181","17,841","15,955","1,886","8,467","1,044","7,488",842,"5,480","5,087",393,"4,129",321,958,72,240,232,8,101,2,131,6,"23,561","21,274","2,287","12,697","1,367","8,577",920
2025,교육대학,국립,전북,기존,전주교육대학교,"1,106","1,019",949,70,328,28,621,42,38,35,3,22,3,13,0,0,0,0,0,0,0,0,"1,057",984,73,350,31,634,42
2025,대학교,사립,전북,기존,전주대학교,"10,143","10,147","9,348",799,"5,179",413,"4,169",386,"3,327","3,138",189,"2,558",144,580,45,73,68,5,36,4,32,1,"13,547","12,554",993,"7,773",561,"4,781",432
2025,기술대학,사립,서울,기존,정석대학,200,23,23,0,15,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,0,15,0,8,0
2025,대학교,사립,제주,기존,제주국제대학교,"1,480",263,103,160,95,102,8,58,50,44,6,41,3,3,3,0,0,0,0,0,0,0,313,147,166,136,105,11,61
2025,대학교,국립,제주,기존,제주대학교,"8,938","9,306","8,452",854,"4,060",432,"4,392",422,"3,495","3,225",270,"2,398",184,827,86,90,85,5,23,2,62,3,"12,891","11,762","1,129","6,481",618,"5,281",511
2025,대학교,사립,광주,기존,조선대학교,"17,877","17,911","16,493","1,418","8,842",719,"7,651",699,"6,964","6,527",437,"5,297",356,"1,230",81,111,104,7,54,4,50,3,"24,986","23,124","1,862","14,193","1,079","8,931",783
2025,대학교,사립,충남,기존,중부대학교,"7,035","6,991","5,930","1,061","2,838",609,"3,092",452,"3,087","2,859",228,"2,292",179,567,49,30,30,0,13,0,17,0,"10,108","8,819","1,289","5,143",788,"3,676",501
2025,대학교,사립,서울,기존,중앙대학교,"13,132","18,637","13,763","4,874","7,170","1,964","6,593","2,910","6,005","4,784","1,221","3,521",790,"1,263",431,718,649,69,271,32,378,37,"25,360","19,196","6,164","10,962","2,786","8,234","3,378"
2025,대학교,사립,경기,기존,중앙대학교_제2캠퍼스,"4,752","4,963","4,410",553,"1,797",238,"2,613",315,"1,629","1,489",140,"1,052",58,437,82,117,116,1,37,0,79,1,"6,709","6,015",694,"2,886",296,"3,129",398
2025,대학교,사립,경기,기존,중앙승가대학교,480,53,49,4,30,4,19,0,10,10,0,9,0,1,0,0,0,0,0,0,0,0,63,59,4,39,4,20,0
2025,대학교,사립,충북,기존,중원대학교,"3,195","3,324","3,005",319,"1,702",191,"1,303",128,492,475,17,400,14,75,3,9,9,0,7,0,2,0,"3,825","3,489",336,"2,109",205,"1,380",131
2025,교육대학,국립,경남,기존,진주교육대학교,"1,238","1,169","1,109",60,426,32,683,28,46,44,2,27,2,17,0,0,0,0,0,0,0,0,"1,215","1,153",62,453,34,700,28
2025,대학교,사립,경기,기존,차의과학대학교,"2,046","2,154","1,936",218,655,82,"1,281",136,435,407,28,290,19,117,9,34,32,2,7,1,25,1,"2,623","2,375",248,952,102,"1,423",146
2025,대학교,사립,경남,기존,창신대학교,"1,340","1,582","1,291",291,456,120,835,171,284,275,9,218,7,57,2,8,8,0,8,0,0,0,"1,874","1,574",300,682,127,892,173
2025,산업대학,사립,충남,기존,청운대학교,"4,335","5,135","3,621","1,514","2,082",747,"1,539",767,"1,516","1,275",241,"1,032",177,243,64,46,34,12,17,2,17,10,"6,697","4,930","1,767","3,131",926,"1,799",841
2025,교육대학,국립,충북,기존,청주교육대학교,"1,110","1,075",998,77,299,34,699,43,37,32,5,17,4,15,1,0,0,0,0,0,0,0,"1,112","1,030",82,316,38,714,44
2025,대학교,사립,충북,기존,청주대학교,"10,596","11,943","9,711","2,232","4,893","1,340","4,818",892,"4,519","4,177",342,"3,415",281,762,61,18,17,1,5,0,12,1,"16,480","13,905","2,575","8,313","1,621","5,592",954
2025,대학교,사립,전남,기존,초당대학교,"2,903","2,225","2,082",143,"1,103",62,979,81,454,416,38,356,33,60,5,7,6,1,2,0,4,1,"2,686","2,504",182,"1,461",95,"1,043",87
2025,대학교,사립,서울,기존,총신대학교,"1,228","1,398","1,252",146,496,69,756,77,300,274,26,180,15,94,11,9,8,1,5,1,3,0,"1,707","1,534",173,681,85,853,88
2025,대학교,사립,서울,기존,추계예술대학교,"1,000","1,113","1,023",90,326,42,697,48,230,222,8,119,3,103,5,21,18,3,0,1,18,2,"1,364","1,263",101,445,46,818,55
2025,교육대학,국립,강원,기존,춘천교육대학교,"1,245","1,186","1,121",65,401,26,720,39,43,42,1,27,1,15,0,0,0,0,0,0,0,0,"1,229","1,163",66,428,27,735,39
2025,대학교,국립,대전,기존,충남대학교,"14,967","17,696","16,022","1,674","8,233",898,"7,789",776,"4,630","4,349",281,"3,447",216,902,65,173,163,10,81,5,82,5,"22,499","20,534","1,965","11,761","1,119","8,773",846
2025,대학교,국립,충북,기존,충북대학교,"11,957","13,228","11,813","1,415","6,620",717,"5,193",698,"3,967","3,663",304,"3,081",238,582,66,163,155,8,78,6,77,2,"17,358","15,631","1,727","9,779",961,"5,852",766
2025,대학교,사립,경기,기존,칼빈대학교,360,"2,159",305,"1,854",201,870,104,984,111,100,11,74,1,26,10,0,0,0,0,0,0,0,"2,270",405,"1,865",275,871,130,994
2025,사이버대학(대학),사립,서울,신설,태재대학교,300,46,34,12,13,4,21,8,3,3,0,3,0,0,0,0,0,0,0,0,0,0,49,37,12,16,4,21,8
2025,대학교,사립,경기,기존,평택대학교,"3,248","3,006","2,771",235,"1,604",147,"1,167",88,"1,007",962,45,826,38,136,7,30,27,3,6,1,21,2,"4,043","3,760",283,"2,436",186,"1,324",97
2025,대학교,사립,경북,기존,포항공과대학교,"1,280","1,477","1,332",145,"1,003",116,329,29,379,358,21,333,21,25,0,0,0,0,0,0,0,0,"1,856","1,690",166,"1,336",137,354,29
2025,대학교,국립,경기,기존,한경국립대학교,"4,911","5,428","4,887",541,"2,861",299,"2,026",242,"1,768","1,670",98,"1,394",68,276,30,56,54,2,28,1,26,1,"7,252","6,611",641,"4,283",368,"2,328",273
2025,대학교,사립,경기,기존,한국공학대학교,"5,550","7,596","5,912","1,684","4,339","1,319","1,573",365,"2,411","2,202",209,"2,024",196,178,13,50,50,0,32,0,18,0,"10,057","8,164","1,893","6,395","1,515","1,769",378
2025,대학교,특별법법인,대전,기존,한국과학기술원,"3,880","4,008","3,525",483,"2,812",365,713,118,"1,101","1,058",43,"1,008",38,50,5,0,0,0,0,0,0,0,"5,109","4,583",526,"3,820",403,763,123
2025,대학교,국립,충북,기존,한국교원대학교,"2,171","2,342","2,171",171,942,64,"1,229",107,231,214,17,167,13,47,4,14,12,2,2,2,10,0,"2,587","2,397",190,"1,111",79,"1,286",111
2025,대학교,사립,충남,기존,한국기술교육대학교,"3,344","4,157","3,590",567,"2,669",441,921,126,"1,470","1,376",94,"1,284",88,92,6,141,139,2,97,2,42,0,"5,768","5,105",663,"4,050",531,"1,055",132
2025,방송통신대학,국립,서울,기존,한국방송통신대학교,"215,500","92,953","81,310","11,643","27,700","4,592","53,610","7,051","28,708","25,310","3,398","9,338","1,296","15,972","2,102",0,0,0,0,0,0,0,"121,661","106,620","15,041","37,038","5,888","69,582","9,153"
2025,대학교,사립,서울,기존,한국성서대학교,897,972,883,89,352,25,531,64,177,161,16,117,5,44,11,0,0,0,0,0,0,0,"1,149","1,044",105,469,30,575,75
2025,대학교,특별법법인,전남,기존,한국에너지공과대학교,400,301,277,24,193,14,84,10,104,92,12,83,10,9,2,0,0,0,0,0,0,0,405,369,36,276,24,93,12
2025,사이버대학(대학),사립,서울,기존,한국열린사이버대학교,"2,900","5,723","2,754","2,969",716,"1,511","2,038","1,458",454,232,222,68,114,164,108,0,0,0,0,0,0,0,"6,177","2,986","3,191",784,"1,625","2,202","1,566"
2025,각종학교(대학),특별법국립,서울,기존,한국예술종합학교,"2,252","2,787","2,640",147,851,44,"1,789",103,544,523,21,285,11,238,10,0,0,0,0,0,0,0,"3,331","3,163",168,"1,136",55,"2,027",113
2025,대학교,사립,서울,기존,한국외국어대학교,"13,704","17,101","13,952","3,149","5,660","1,263","8,292","1,886","5,592","4,792",800,"3,041",481,"1,751",319,0,0,0,0,0,0,0,"22,693","18,744","3,949","8,701","1,744","10,043","2,205"
2025,대학교,특별법국립,충남,기존,한국전통문화대학교,560,583,563,20,211,4,352,16,132,123,9,92,7,31,2,0,0,0,0,0,0,0,715,686,29,303,11,383,18
2025,대학교,국립,서울,기존,한국체육대학교,"2,140","2,339","2,187",152,"1,345",111,842,41,566,514,52,426,43,88,9,20,18,2,5,0,13,2,"2,925","2,719",206,"1,776",154,943,52
2025,대학교,사립,대전,기존,한국침례신학대학교,811,677,662,15,313,5,349,10,175,171,4,120,3,51,1,0,0,0,0,0,0,0,852,833,19,433,8,400,11
2025,대학교,사립,경기,기존,한국항공대학교,"3,440","4,255","3,604",651,"2,620",496,984,155,"1,611","1,411",200,"1,246",184,165,16,0,0,0,0,0,0,0,"5,866","5,015",851,"3,866",680,"1,149",171
2025,대학교,사립,대전,기존,한남대학교,"10,933","11,608","10,427","1,181","5,269",524,"5,158",657,"4,257","4,004",253,"3,138",204,866,49,0,0,0,0,0,0,0,"15,865","14,431","1,434","8,407",728,"6,024",706
2025,대학교,사립,경북,기존,한동대학교,"2,916","3,876","3,368",508,"1,588",272,"1,780",236,"1,278","1,134",144,845,114,289,30,77,71,6,28,3,43,3,"5,231","4,573",658,"2,461",389,"2,112",269
2025,대학교,사립,강원,기존,한라대학교,"3,554","3,128","2,761",367,"2,090",240,671,127,821,773,48,699,43,74,5,25,22,3,15,0,7,3,"3,974","3,556",418,"2,804",283,752,135
2025,대학교,사립,강원,기존,한림대학교,"7,368","7,575","7,019",556,"3,542",276,"3,477",280,"2,762","2,543",219,"1,997",165,546,54,90,82,8,31,3,51,5,"10,427","9,644",783,"5,570",444,"4,074",339
2025,대학교,사립,충남,기존,한서대학교,"6,171","6,117","5,582",535,"3,365",277,"2,217",258,"1,835","1,738",97,"1,586",85,152,12,0,0,0,0,0,0,0,"7,952","7,320",632,"4,951",362,"2,369",270
2025,대학교,사립,서울,기존,한성대학교,"5,912","7,011","5,921","1,090","3,013",364,"2,908",726,"2,127","1,942",185,"1,421",116,521,69,250,236,14,103,9,133,5,"9,388","8,099","1,289","4,537",489,"3,562",800
2025,대학교,사립,경기,기존,한세대학교,"2,264","2,509","2,340",169,896,75,"1,444",94,660,606,54,396,40,210,14,0,0,0,0,0,0,0,"3,169","2,946",223,"1,292",115,"1,654",108
2025,대학교,사립,경기,기존,한신대학교,"4,718","5,172","4,737",435,"2,236",215,"2,501",220,"1,880","1,745",135,"1,302",98,443,37,130,123,7,47,1,76,6,"7,182","6,605",577,"3,585",314,"3,020",263
2025,대학교,사립,경기,기존,한양대학교(ERICA)_분교,"7,815","10,890","7,681","3,209","4,284","1,640","3,397","1,569","3,634","2,870",764,"2,314",493,556,271,538,500,38,224,20,276,18,"15,062","11,051","4,011","6,822","2,153","4,229","1,858"
2025,대학교,사립,서울,기존,한양대학교,"11,849","16,432","11,774","4,658","7,011","2,145","4,763","2,513","5,434","4,231","1,203","3,340",866,891,337,907,774,133,374,71,400,62,"22,773","16,779","5,994","10,725","3,082","6,054","2,912"
