2025년_ [재적 학생 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,학생정원,재학생(A),,,,,,,휴학생(B),,,,,,,학사학위취득유예학생(C),,,,,,,재적학생(D=A+B+C),,,,,,
,,,,,,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,,계,,,남,,여,
,,,,,,,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외,소계,정원내,정원외,정원내,정원외,정원내,정원외
2025,대학교,사립,부산,기존,경성대학교,"11,095","12,568","10,134","2,434","4,606","1,460","5,528",974,"3,727","3,507",220,"2,674",172,833,48,191,178,13,74,6,104,7,"16,486","13,819","2,667","7,354","1,638","6,465","1,029"
2025,대학교,사립,경북,기존,경운대학교,"4,736","5,074","4,207",867,"2,458",410,"1,749",457,"1,080","1,026",54,905,37,121,17,14,13,1,9,1,4,0,"6,168","5,246",922,"3,372",448,"1,874",474
2025,교육대학,국립,인천,기존,경인교육대학교,"2,320","1,132","1,037",95,304,24,733,71,40,35,5,22,1,13,4,0,0,0,0,0,0,0,"1,172","1,072",100,326,25,746,75
2025,교육대학,국립,경기,기존,경인교육대학교_제2캠퍼스,0,"1,161","1,060",101,278,32,782,69,45,41,4,20,2,21,2,0,0,0,0,0,0,0,"1,206","1,101",105,298,34,803,71
2025,대학교,사립,경북,기존,경일대학교,"6,182","6,930","5,920","1,010","3,538",695,"2,382",315,"1,574","1,444",130,"1,303",110,141,20,20,19,1,15,0,4,1,"8,524","7,383","1,141","4,856",805,"2,527",336
2025,대학교,사립,서울,기존,경희대학교,"20,016","25,573","20,048","5,525","10,395","2,088","9,653","3,437","7,286","6,320",966,"4,483",611,"1,837",355,0,0,0,0,0,0,0,"32,859","26,368","6,491","14,878","2,699","11,490","3,792"
2025,사이버대학(대학),사립,서울,기존,경희사이버대학교,"9,200","10,615","7,295","3,320","2,779","1,425","4,516","1,895","1,164",755,409,270,148,485,261,0,0,0,0,0,0,0,"11,779","8,050","3,729","3,049","1,573","5,001","2,156"
2025,대학교,사립,대구,기존,계명대학교,"18,704","20,491","17,957","2,534","8,454","1,043","9,503","1,491","7,874","7,299",575,"5,493",415,"1,806",160,250,235,15,97,6,138,9,"28,615","25,491","3,124","14,044","1,464","11,447","1,660"
2025,대학교,사립,세종,기존,고려대학교(세종)_분교,"5,903","6,714","5,692","1,022","3,484",605,"2,208",417,"2,346","2,161",185,"1,772",149,389,36,29,23,6,12,4,11,2,"9,089","7,876","1,213","5,268",758,"2,608",455
2025,대학교,사립,서울,기존,고려대학교,"16,159","21,772","16,526","5,246","8,971","2,162","7,555","3,084","6,183","5,386",797,"4,066",592,"1,320",205,250,221,29,102,9,119,20,"28,205","22,133","6,072","13,139","2,763","8,994","3,309"
2025,사이버대학(대학),사립,서울,기존,고려사이버대학교,"7,378","10,301","7,519","2,782","4,158","1,629","3,361","1,153","1,458","1,057",401,549,207,508,194,0,0,0,0,0,0,0,"11,759","8,576","3,183","4,707","1,836","3,869","1,347"
2025,대학교,사립,부산,기존,고신대학교,"3,436","3,263","3,153",110,"1,393",45,"1,760",65,421,412,9,364,8,48,1,3,3,0,1,0,2,0,"3,687","3,568",119,"1,758",53,"1,810",66
2025,교육대학,국립,충남,기존,공주교육대학교,"1,374","1,365","1,275",90,409,38,866,52,46,42,4,28,3,14,1,0,0,0,0,0,0,0,"1,411","1,317",94,437,41,880,53
