학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,학제별,평균입학금,평균등록금(원),일반학자금대출_전체_학생수,일반학자금대출_전체_금액,일반학자금대출_등록금_학생수,일반학자금대출_등록금_금액,취업학자금대출_전체_학생수,취업학자금대출_전체_금액,취업학자금대출_등록금_학생수,취업학자금대출_등록금_금액,일반_생활비대출_금액,취업_생활비대출_금액,총_생활비대출_금액,총_등록금대출_금액,총_대출_금액,총_대출_학생수,재학생수,대출학생비율(%),1인당_대출액(원)
선문대학교,사립,충남,24565289317,2747928800,36563038445,대학,0,8244256.0,900,3256374120,667,2263424120,1663,4810705137,861,2494978457,992950000,2315726680,3308676680,4758402577,8067079257,2563,8435,30.38529934795495,956381.6546532306
성결대학교,사립,경기,12821131995,163273000,18678736589,대학,0,7857086.3,795,2902010910,685,2184860910,1079,3301039495,795,1987289495,717150000,1313750000,2030900000,4172150405,6203050405,1874,5241,35.75653501240221,1183562.3745468422
성공회대학교,사립,서울,6734950645,822488030,9181954284,대학,0,7626671.5,347,1274287775,274,920187775,368,928284603,188,412788744,354100000,515495859,869595859,1332976519,2202572378,715,2234,32.0053715308863,985932.1298119964
성균관대학교,사립,서울,31566702056,8108184100,65103841772,대학,0,9145523.9,7036,47203355730,6236,39957155730,2355,9543612519,1502,6205384627,7246200000,3338227892,10584427892,46162540357,56746968249,9391,19612,47.88394860289619,2893481.9625229454
성신여자대학교,사립,서울,20603194379,3148177250,34697642139,대학,0,8437832.3,1226,5188504100,992,4047236000,1216,3885785329,681,2198293779,1141268100,1687491550,2828759650,6245529779,9074289429,2442,9404,25.96767333049766,964939.32677584
성운대학교,사립,경북,5814963810,0,6960085400,전문대학,0,5467121.3,70,173229400,26,64729400,16,45314000,8,22314000,108500000,23000000,131500000,87043400,218543400,86,1558,5.5198973042362,140271.75866495506
세경대학교,사립,강원,2751639753,109124850,3665401131,전문대학,0,5372224.4,50,120796900,16,38996900,87,221079100,39,80129100,81800000,140950000,222750000,119126000,341876000,137,771,17.769130998702984,443418.9364461738
세명대학교,사립,충북,18430234736,245832800,27135544315,대학,0,7503323.4,706,2244462600,490,1381862600,1328,3598243057,725,1590379321,862600000,2007863736,2870463736,2972241921,5842705657,2034,5515,36.88123300090662,1059420.7900271986
세종사이버대학교,사립,서울,16853543703,10600000,20945861579,대학,0,2920578.9,1251,2657710000,463,547460000,692,1446719340,229,249261000,2110250000,1197458340,3307708340,796721000,4104429340,1943,11464,16.94870900209351,358027.6814375436
세한대학교,사립,전남,10873957426,2993323500,15689289604,대학,0,8013059.4,312,933482250,165,527082250,437,1416716146,252,753662954,406400000,663053192,1069453192,1280745204,2350198396,749,3139,23.861102261866836,748709.2691940109
송곡대학교,사립,강원,1885095409,23321018,2541742406,전문대학,0,5619869.9,104,274296085,56,130496085,111,279524456,53,123124456,143800000,156400000,300200000,253620541,553820541,215,2479,8.672851956434044,223404.81686163775
송원대학교,사립,광주,8998284248,0,12910635151,대학,0,7106105.0,189,488553800,91,208203800,353,849431611,150,295042640,280350000,554388971,834738971,503246440,1337985411,542,2569,21.097703386531723,520819.5449591281
송호대학교,사립,강원,2804236498,3760000,3542906073,전문대학,0,6038419.6,152,449533950,98,226883950,180,525269300,92,220669300,222650000,304600000,527250000,447553250,974803250,332,963,34.47559709241953,1012256.7497403946
